Gene	junctions1_n1	junctions1_n3	junctions1_n10	junctions10_n1	junctions10_n3	junctions10_n10	junctions100_n1	junctions100_n3	junctions100_n10	junctions1_unique_n1	junctions1_unique_n3	junctions1_unique_n10	junctions10_unique_n1	junctions10_unique_n3	junctions10_unique_n10	junctions100_unique_n1	junctions100_unique_n3	junctions100_unique_n10	meanCPM
RJF.Contig1.LOC42.MHCY14s	5 / 5	5 / 5	5 / 5	4 / 5	4 / 5	3 / 5	3 / 5	2 / 5	2 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	2.02465086419753
RJF.Contig1.LOC12.MHCY2B2b	5 / 5	5 / 5	3 / 5	3 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	4 / 5	3 / 5	1 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0.0282507407407407
RJF.Contig1.LOC07.ZNFY1a	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	2 / 3	2 / 3	0 / 3	1 / 3	1 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0.207365020576132
RJF.Contig2.LOC07.MHCY23m	6 / 6	6 / 6	5 / 6	5 / 6	5 / 6	2 / 6	3 / 6	3 / 6	1 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.504156790123457
RJF.Contig2.LOC04.YLEC21e	6 / 6	5 / 6	3 / 6	3 / 6	2 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0209394032921811
RJF.Contig2.LOC16.MHCY29v	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	1.09054796296296
RJF.Contig2.LOC14.MHCY27t	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	1 / 5	1 / 5	0 / 5	0 / 5	1 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0.0514372839506173
RJF.Contig2.LOC18.MHCY30h	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	5 / 7	6 / 7	4 / 7	3 / 7	2 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	3.54336560846561
RJF.Contig2.LOC21.MHCY32g	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	6 / 7	6 / 7	5 / 7	3 / 7	2 / 7	2 / 7	2 / 7	2 / 7	1 / 7	1 / 7	1 / 7	1 / 7	14.0226280423281
RJF.Contig2.LOC19.MHCY31v	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	5 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	1.09033314814815
RJF.Contig2.LOC24.YLEC27a	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	6.27736296296297
RJF.Contig2.LOC25.YLEC28b	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	4 / 6	5 / 6	4 / 6	3 / 6	3 / 6	1 / 6	1 / 6	1 / 6	0 / 6	0 / 6	6.02839537037038
RJF.Contig2.LOC15.MHCY28o	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	2 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	1.43700720164609
RJF.Contig2.LOC06.YLEC22f	6 / 6	6 / 6	5 / 6	5 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0252212962962963
RJF.Contig2.LOC26.YLEC29c	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	6 / 6	3 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.739133950617284
RJF.Contig2.LOC11.MHCY25a	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	4 / 7	1 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	4.90716455026456
RJF.Contig2.LOC13.MHCY26i	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	1 / 7	1 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	1.03414038800705
RJF.Contig2.LOC23.MHCY33u	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	4 / 4	2 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	2.72547592592593
RJF.Contig2.LOC05.MHCY22s	5 / 5	5 / 5	5 / 5	4 / 5	3 / 5	3 / 5	3 / 5	2 / 5	2 / 5	1 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	1.99768962962963
RJF.Contig2.LOC02.MHCY21e	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	0 / 7	1 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0.458889241622574
RJF.Contig2.LOC12.YLEC23g	6 / 6	6 / 6	6 / 6	5 / 6	4 / 6	1 / 6	1 / 6	0 / 6	0 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.190860493827161
RJF.Contig3.LOC09.MHCY2B7c	5 / 5	5 / 5	3 / 5	3 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	4 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0.0302333333333333
RJF.Contig3.LOC14.MHCY37c	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	15.8607407407408
RJF.Contig3.LOC02.MHCY34b	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	5 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	5 / 7	4.51566772486773
RJF.Contig3.LOC10.MHCY35k	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	3 / 6	0 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	5 / 6	1 / 6	0 / 6	0.780048148148147
RJF.Contig3.LOC13.MHCY36w	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	5 / 6	4 / 6	2 / 6	0 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	5 / 6	4 / 6	2 / 6	0 / 6	0.751842592592592
RJF.Contig3.LOC16.MHCY38j	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	6 / 7	6 / 7	2 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	6 / 7	6 / 7	6 / 7	2 / 7	1.65379259259259
RJF.Contig3.LOC21.MHCY40l	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	6 / 6	5 / 6	5 / 6	1 / 6	6 / 6	5 / 6	4 / 6	3 / 6	3 / 6	2 / 6	2 / 6	0 / 6	0 / 6	0.982062345679012
RJF.Contig3.LOC11.YLEC34h	6 / 6	6 / 6	5 / 6	6 / 6	5 / 6	2 / 6	2 / 6	1 / 6	0 / 6	6 / 6	6 / 6	4 / 6	6 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.42654938271605
RJF.Contig3.LOC08.ZNFY4b	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	2 / 3	2 / 3	0 / 3	3 / 3	3 / 3	1 / 3	1 / 3	1 / 3	1 / 3	0 / 3	0 / 3	0 / 3	0.577795061728395
RJF.Contig3.LOC18.MHCY39r	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	1 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	2 / 2	1 / 2	5.24975925925926
RJF.Contig3.LOC01.YLEC30partial	1 / 1	1 / 1	1 / 1	1 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0 / 1	0.0317
RJF.Contig3.LOC04.ZNFY3a	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	3 / 3	2 / 3	1 / 3	0 / 3	3 / 3	3 / 3	2 / 3	1 / 3	1 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0.166007407407408
RJF.Contig4.LOC06.YLEC41f	6 / 6	6 / 6	5 / 6	5 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0246842592592592
RJF.Contig4.LOC05.MHCY42s	5 / 5	5 / 5	5 / 5	3 / 5	3 / 5	3 / 5	3 / 5	2 / 5	2 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	0 / 5	1.97780296296296
RJF.Contig4.LOC08.MHCY44n	6 / 6	6 / 6	4 / 6	4 / 6	4 / 6	2 / 6	3 / 6	3 / 6	1 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.991326234567902
RJF.Contig4.LOC04.YLEC40e	6 / 6	5 / 6	3 / 6	3 / 6	2 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0 / 6	0.0202690329218107
RJF.Contig4.LOC02.MHCY41e	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	7 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0 / 7	0.457175837742504
